Date,Close/Last,Volume,Open,High,Low
08/11/2022,1900.39,N/A,1879.14,1913.27,1858.57
08/10/2022,1882.78,N/A,1669.14,1917.52,1850.72
08/09/2022,1671.64,N/A,1778.59,1702.8,1657.78
08/08/2022,1776.89,N/A,1710.17,1785.35,1762.01
08/07/2022,1712.04,N/A,1683.93,1718.76,1694.69
08/06/2022,1684.57,N/A,1739.43,1697.65,1669.39
08/05/2022,1735.85,N/A,1659.86,1749.33,1727.94
08/04/2022,1659.71,N/A,1649.28,1668,1605.71
08/03/2022,1649.3,N/A,1617.6,1658.33,1616.53
08/02/2022,1619.2,N/A,1577.38,1638.44,1591.6
08/01/2022,1580.27,N/A,1690.67,1655.07,1569.73
07/31/2022,1690.19,N/A,1693.48,1702.81,1674.89
07/30/2022,1689.39,N/A,1706.63,1710.72,1687.45
07/29/2022,1707.09,N/A,1727.76,1734.13,1687.5
07/28/2022,1727.26,N/A,1648.82,1731.91,1696.97
07/27/2022,1646.36,N/A,1424.75,1673.3,1606.14
07/26/2022,1424.4,N/A,1432.66,1458.13,1421.17
07/25/2022,1431.55,N/A,1509.74,1446.06,1404
07/24/2022,1504.3,N/A,1551.83,1608.06,1504.3
07/23/2022,1552.67,N/A,1571.32,1574.88,1548.7
07/22/2022,1577.32,N/A,1561.55,1578.68,1525.86
07/21/2022,1560.67,N/A,1487.18,1594.71,1556.48
07/20/2022,1492.42,N/A,1562.2,1551.73,1485.06
07/19/2022,1559.82,N/A,1517.54,1567.62,1511.58
07/18/2022,1514.7,N/A,1408.4,1620.35,1514.57
07/17/2022,1404.82,N/A,1353.83,1419.48,1336.75
07/16/2022,1353.19,N/A,1222.69,1385.23,1330.25
07/15/2022,1223.55,N/A,1199.97,1234.85,1210.06
07/14/2022,1195.85,N/A,1112.61,1221.16,1182.22
07/13/2022,1113.32,N/A,1052.19,1125.71,1109.25
07/12/2022,1051.75,N/A,1086.27,1058.94,1036.31
07/11/2022,1084.98,N/A,1154.64,1097.75,1081.68
07/10/2022,1153.22,N/A,1188.43,1170.63,1146.09
07/09/2022,1189.6,N/A,1216.88,1219.26,1185.36
07/08/2022,1216.51,N/A,1258.67,1221.04,1205.26
07/07/2022,1258.38,N/A,1175.89,1275.69,1231.55
07/06/2022,1175.49,N/A,1130.41,1189.15,1167.65
07/05/2022,1129.69,N/A,1152.87,1153.37,1112.02
07/03/2022,1062.17,N/A,1045.69,1083.98,1041.82
07/02/2022,1063.18,N/A,1038.14,1070.87,1055.49
07/01/2022,1038.52,N/A,1056.78,1068.14,1035.08
06/30/2022,1065.1,N/A,1094.02,1110.25,1050.95
06/29/2022,1092.25,N/A,1145.24,1105.88,1078.39
